c_number	entry	name	definition
C00332	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C00026	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C00990	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C00047	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C03273	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C01144	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C00527	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C03196	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C00489	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C00877	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C00431	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C00042	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C00024	M00957	Lysine_degradation_bacteria_L_lysine_glutarate_succinate_acetyl_CoA	K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626
C00212	M00958	Adenine_ribonucleotide_degradation_AMP_Urate	K01490;K01081;K19970;K03787;K18550;K01081;K19970;K11751;K03787;K02566;K08693;K01488;K19572;K05810;K03783;K03784;K09913;K05810;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C00130	M00958	Adenine_ribonucleotide_degradation_AMP_Urate	K01490;K01081;K19970;K03787;K18550;K01081;K19970;K11751;K03787;K02566;K08693;K01488;K19572;K05810;K03783;K03784;K09913;K05810;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
